imdb_title_id,year,genre,colors,genre_1,genre_2,genre_3,color_1,color_2,color_3,color_4,color_5
tt0083006,1981,"Drama, Mystery, Romance","['silver', 'black', 'gray', 'white', 'olive']",Drama, Mystery, Romance,silver, black, gray, white, olive
tt0083015,1981,"Comedy, Drama","['white', 'silver', 'gray', 'gray', 'black']",Comedy, Drama,,white, silver, gray, gray, black
tt0083041,1981,Comedy,"['white', 'gray', 'silver', 'gray', 'black']",Comedy,,,white, gray, silver, gray, black
tt0083064,1981,"Action, Crime, Drama","['gray', 'black', 'silver', 'gray', 'black']",Action, Crime, Drama,gray, black, silver, gray, black
tt0083079,1981,Drama,"['gray', 'white', 'black', 'silver', 'gray']",Drama,,,gray, white, black, silver, gray
tt0083113,1981,"Adventure, Mystery, Thriller","['teal', 'white', 'gray', 'maroon', 'black']",Adventure, Mystery, Thriller,teal, white, gray, maroon, black
tt0083131,1981,"Comedy, War","['white', 'gray', 'silver', 'black', 'gray']",Comedy, War,,white, gray, silver, black, gray
tt0083133,1981,"Comedy, Horror, Mystery","['gray', 'white', 'black', 'silver', 'olive']",Comedy, Horror, Mystery,gray, white, black, silver, olive
tt0083163,1981,Comedy,"['black', 'yellow', 'silver', 'silver', 'olive']",Comedy,,,black, yellow, silver, silver, olive
tt0083169,1981,Drama,"['silver', 'black', 'gray', 'gray', 'black']",Drama,,,silver, black, gray, gray, black
tt0083170,1981,"Adventure, Drama","['maroon', 'white', 'silver', 'black', 'gray']",Adventure, Drama,,maroon, white, silver, black, gray
tt0083190,1981,"Action, Crime, Drama","['silver', 'gray', 'gray', 'black', 'maroon']",Action, Crime, Drama,silver, gray, gray, black, maroon
tt0083193,1981,"Biography, Music","['white', 'gray', 'black', 'silver', 'gray']",Biography, Music,,white, gray, black, silver, gray
tt0083232,1981,"Crime, Drama","['black', 'white', 'gray', 'gray', 'gray']",Crime, Drama,,black, white, gray, gray, gray
tt0083254,1981,Comedy,"['silver', 'gray', 'silver', 'black', 'gray']",Comedy,,,silver, gray, silver, black, gray
tt0083284,1981,"Drama, Sport, War","['gray', 'black', 'white', 'maroon', 'navy']",Drama, Sport, War,gray, black, white, maroon, navy
tt0083326,1981,Drama,"['silver', 'teal', 'white', 'black', 'gray']",Drama,,,silver, teal, white, black, gray
tt0083336,1981,"Horror, Thriller","['black', 'silver', 'gray', 'white', 'black']",Horror, Thriller,,black, silver, gray, white, black
tt0083365,1981,"Drama, Musical","['black', 'red', 'silver', 'black', 'gray']",Drama, Musical,,black, red, silver, black, gray
tt0084058,1983,"Drama, Romance","['white', 'gray', 'silver', 'silver', 'maroon']",Drama, Romance,,white, gray, silver, silver, maroon
tt0084867,1982,"Action, Crime, Thriller",,Action, Crime, Thriller,,,,,
tt0085121,1983,"Crime, Drama, Thriller","['gray', 'white', 'black', 'silver', 'silver']",Crime, Drama, Thriller,gray, white, black, silver, silver
tt0085154,1983,"Drama, Romance, Sport","['gray', 'black', 'white', 'black', 'gray']",Drama, Romance, Sport,gray, black, white, black, gray
tt0085159,1983,Horror,"['teal', 'teal', 'gray', 'silver', 'black']",Horror,,,teal, teal, gray, silver, black
tt0085208,1983,"Comedy, Drama, Romance","['silver', 'black', 'gray', 'gray', 'teal']",Comedy, Drama, Romance,silver, black, gray, gray, teal
tt0085236,1983,"Drama, Romance, Thriller","['silver', 'black', 'silver', 'maroon', 'gray']",Drama, Romance, Thriller,silver, black, silver, maroon, gray
tt0085244,1983,"Comedy, Drama","['silver', 'maroon', 'silver', 'gray', 'white']",Comedy, Drama,,silver, maroon, silver, gray, white
tt0085248,1983,"Adventure, Family","['silver', 'black', 'gray', 'olive', 'gray']",Adventure, Family,,silver, black, gray, olive, gray
tt0085255,1983,"Action, Crime, Drama","['black', 'white', 'gray', 'yellow', 'black']",Action, Crime, Drama,black, white, gray, yellow, black
tt0085271,1983,"Sci-Fi, Thriller","['teal', 'silver', 'black', 'black', 'gray']",Sci-Fi, Thriller,,teal, silver, black, black, gray
tt0085276,1983,"Action, Drama, Romance","['black', 'silver', 'red', 'white', 'gray']",Action, Drama, Romance,black, silver, red, white, gray
tt0085318,1983,"Action, Crime, Drama","['white', 'teal', 'gray', 'silver', 'gray']",Action, Crime, Drama,white, teal, gray, silver, gray
tt0085320,1984,"Biography, Drama, Romance","['gray', 'white', 'black', 'silver', 'olive']",Biography, Drama, Romance,gray, white, black, silver, olive
tt0085333,1983,"Horror, Thriller","['teal', 'black', 'silver', 'maroon', 'navy']",Horror, Thriller,,teal, black, silver, maroon, navy
tt0085334,1983,"Comedy, Family","['silver', 'white', 'black', 'gray', 'silver']",Comedy, Family,,silver, white, black, gray, silver
tt0085346,1983,"Comedy, Drama, Romance","['white', 'black', 'gray', 'silver', 'gray']",Comedy, Drama, Romance,white, black, gray, silver, gray
tt0085382,1983,"Horror, Thriller","['white', 'black', 'gray', 'silver', 'olive']",Horror, Thriller,,white, black, gray, silver, olive
tt0085384,1983,"Comedy, Crime, Mystery","['silver', 'black', 'teal', 'white', 'gray']",Comedy, Crime, Mystery,silver, black, teal, white, gray
tt0085387,1983,"Action, Comedy","['white', 'olive', 'gray', 'silver', 'black']",Action, Comedy,,white, olive, gray, silver, black
tt0085398,1983,Drama,"['silver', 'black', 'gray', 'teal', 'gray']",Drama,,,silver, black, gray, teal, gray
